1644,3152,52.0282365,1.415556,5,2021-04-30 12:33:21.145092252+00:00
1645,3179,52.0282365,1.415556,4,2021-04-30 12:34:04.442404949+00:00
1646,3179,52.0282365,1.415556,4,2021-04-30 12:34:05.863018103+00:00
1647,3212,52.0282365,1.415556,6,2021-04-30 12:34:48.506357566+00:00
1648,3232,52.0282365,1.415556,6,2021-04-30 12:35:32.490765433+00:00
1649,3262,52.0282365,1.415556,6,2021-04-30 12:36:16.476447187+00:00
1650,3300,52.0282365,1.415556,7,2021-04-30 12:37:00.465558347+00:00
1651,3354,52.0282365,1.415556,6,2021-04-30 12:37:44.448548126+00:00
1652,3354,52.0282365,1.415556,6,2021-04-30 12:37:45.430960199+00:00
1653,3409,52.0282365,1.4221095,6,2021-04-30 12:38:28.531758029+00:00
1654,3409,52.0282365,1.4221095,6,2021-04-30 12:38:29.271156893+00:00
1655,3462,52.03479,1.4221095,7,2021-04-30 12:39:12.480464556+00:00
1656,3517,52.03479,1.428663,7,2021-04-30 12:39:56.471912947+00:00
1657,3517,52.03479,1.428663,7,2021-04-30 12:39:58.831740308+00:00
1658,3583,52.03479,1.428663,7,2021-04-30 12:40:40.472496859+00:00
1659,3583,52.03479,1.428663,7,2021-04-30 12:40:41.264415316+00:00
1660,3640,52.03479,1.428663,7,2021-04-30 12:41:24.456279349+00:00
1661,3695,52.0413435,1.4352165,6,2021-04-30 12:42:08.446007317+00:00
1662,3744,52.0413435,1.4352165,6,2021-04-30 12:42:52.525886676+00:00
1663,3794,52.0413435,1.44177,7,2021-04-30 12:43:36.531612656+00:00
1664,3794,52.0413435,1.44177,7,2021-04-30 12:43:39.405504205+00:00
1665,3841,52.0413435,1.44177,7,2021-04-30 12:44:20.518400286+00:00
1666,3889,52.047897,1.4483235,7,2021-04-30 12:45:04.503837048+00:00
1667,3936,52.047897,1.4483235,6,2021-04-30 12:45:48.487630500+00:00
1668,3936,52.047897,1.4483235,6,2021-04-30 12:45:49.673781597+00:00
1669,3982,52.047897,1.4483235,7,2021-04-30 12:46:32.473676982+00:00
1670,3982,52.047897,1.4483235,7,2021-04-30 12:46:33.962587560+00:00
1671,4028,52.0544505,1.454877,6,2021-04-30 12:47:16.458638749+00:00
1672,4028,52.0544505,1.454877,6,2021-04-30 12:47:18.803984089+00:00
1673,4074,52.0544505,1.454877,6,2021-04-30 12:48:00.445206638+00:00
1674,4074,52.0544505,1.454877,6,2021-04-30 12:48:01.188521512+00:00
1675,4122,52.0544505,1.4614305,5,2021-04-30 12:48:44.485750036+00:00
1676,4172,52.061004,1.4614305,6,2021-04-30 12:49:28.433155610+00:00
1677,4172,52.061004,1.4614305,6,2021-04-30 12:49:28.912606214+00:00
