Long,Lat
-70.8809439,-17.0850458
-76.4988889,-44.5032079
-73.0107832,-60.5153307
-66.7675308,-55.4436887
-72.2167496,-51.9060159
-70.2831558,-31.7501663
-67.491027,-22.9178491
-70.8809439,-17.0850458
